ep_info,queen_id,season,contestant,rank,real_name,age,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,hometown,url_end
NA,125,10,Yuhua Hamasaki,12th,Yuhua Ou,27,HIGH,SAFE,ELIM,,,,,,,,,,GUEST,GUEST,NA,NA,"New York, NY",Yuhua_Hamasaki
NA,126,10,Kalorie Karbdashian-Williams,13th,Daniel Hernandez,27,BTM2,ELIM,,,,,,,,,,,GUEST,GUEST,NA,NA,"Albuquerque, NM",Kalorie_Karbdashian-Williams
NA,127,10,Vanessa Vanjie Mateo,14th,Jose Cancel,25,ELIM,,,,,,,,,,,,GUEST,GUEST,NA,NA,"Tampa, FL",Vanessa_Vanjie_Mateo
NA,128,11,Yvie Oddly,1st (Winner),Jovan Bridges,24,SAFE,WIN,HIGH TEAM,HIGH,HIGH,HIGH TEAM,HIGH,BTM2,SAFE,SAFE,LOW,HIGH,RUNNING,WINNER,NA,NA,"Denver, CO",Yvie_Oddly
NA,129,11,Brooke Lynn Hytes,2nd (Runner-Up),Brock Hayhoe,32,WIN,LOW Team Captain,HIGH TEAM,HIGH,WIN,HIGH TEAM,HIGH,BTM2,HIGH Mini Chall. Winner,HIGH,WIN Mini Chall. Winner,BTM2,RUNNING,LOST 3RD ROUND,NA,NA,"Nashville, TN",Brooke_Lynn_Hytes
NA,130,11,A'keria Chanel Davenport,3rd/4th,Gregory D'Wayne,30,HIGH,SAFE,BTM6,SAFE,SAFE,WIN Team Captain,BTM2,SAFE,WIN,SAFE,HIGH,HIGH,RUNNING,LOST 2ND ROUND,NA,NA,"Dallas, TX",A%27keria_Chanel_Davenport
NA,131,11,Silky Nutmeg Ganache,3rd/4th,Reginald Steele,28,SAFE Mini Chall. Winner,SAFE Team Captain,HIGH TEAM,WIN,LOW,HIGH TEAM,SAFE,WIN Mini Chall. Winner,HIGH,LOW,BTM2,LOW,RUNNING,LOST 1ST ROUND,NA,NA,"Chicago, IL",Silky_Nutmeg_Ganache
NA,127,11,Vanessa Vanjie Mateo,5th,Jose Cancel,26,HIGH,SAFE,HIGH TEAM,LOW,SAFE,SAFE,SAFE,LOW,BTM2,BTM2 Mini Chall. Winner,HIGH,ELIM,GUEST,GUEST,NA,NA,"Los Angeles, CA",Vanessa_Vanjie_Mateo
NA,132,11,Nina West,6th (Miss Congeniality),Andrew Levitt,39,LOW,SAFE,WIN Team Captain,SAFE,SAFE,LOW,LOW Mini Chall. Winner,HIGH,SAFE,WIN,ELIM,,GUEST,MISS CON,NA,NA,"Columbus, OH",Nina_West
NA,133,11,Shuga Cain,7th,Jesus Martinez,40,SAFE,HIGH,BTM6,SAFE,BTM2,HIGH TEAM,SAFE Mini Chall. Winner,HIGH,LOW,ELIM,GST,,GUEST,GUEST,NA,NA,"New York, NY",Shuga_Cain
NA,134,11,Plastique Tiara,8th,Duc Tran Nguyen,21,HIGH,HIGH,BTM6,SAFE,HIGH,SAFE Team Captain,WIN,SAFE,ELIM,,GST,,GUEST,GUEST,NA,NA,"Dallas, TX",Plastique_Tiara
NA,135,11,Ra'Jah O'Hara,9th,Benni Miller,33,SAFE,SAFE,BTM6 Team Captain,BTM2,SAFE Mini Chall. Winner,BTM2,ELIM,,,,,,GUEST,GUEST,NA,NA,"Dallas, TX",Ra%27Jah_O%27Hara
NA,136,11,Scarlet Envy,10th,Jacob James,26,SAFE,WIN,BTM6,SAFE Mini Chall. Winner,SAFE,ELIM,,,,,GST,,GUEST,GUEST,NA,NA,"Brooklyn, NY",Scarlet_Envy
NA,137,11,Ariel Versace,11th,Bryan Philip Neel,26,SAFE,LOW,HIGH TEAM,SAFE,ELIM,,,,,,GST,,GUEST,GUEST,NA,NA,"Cherry Hill, NJ",Ariel_Versace
NA,138,11,Mercedes Iman Diamond,12th,Curran,31,LOW,BTM2,HIGH TEAM,ELIM,,,,,,,,,GUEST,GUEST,NA,NA,"Minneapolis, MN",Mercedes_Iman_Diamond
NA,139,11,Honey Davenport,13th,James Heath-Clark,32,SAFE,SAFE,ELIM,,,,,,,,GST,,GUEST,GUEST,NA,NA,"New York, NY",Honey_Davenport
NA,140,11,Kahanna Montrese,14th,Tyrone Hardiman,25,BTM2,ELIM,,,,,,,,,,,GUEST,GUEST,NA,NA,"Las Vegas, NV",Kahanna_Montrese
NA,141,11,Soju,15th,Tony Hyunsoo Ha,27,ELIM,,,,,,,,,,GST,,GUEST,GUEST,NA,NA,"Chicago, IL",Soju
NA,142,12,Jaida Essence Hall,1st (Winner),Jared Johnson,32,,WIN,SAFE Team Captain,HIGH,SAFE,SAFE,SAFE,HIGH,WIN,WIN,BTM2,HIGH,RUNNING,WINNER,NA,NA,"Milwaukee, WI",Jaida_Essence_Hall
NA,143,12,Crystal Methyd,2nd/3rd (Runners‑Up),Cody Harness,28,SAFE,,LOW,SAFE,SAFE,LOW,HIGH,HIGH,HIGH,HIGH,WIN,BTM2,RUNNING,RUNNER UP,NA,NA,"Springfield, MO",Crystal_Methyd
NA,144,12,Gigi Goode,2nd/3rd (Runners‑Up),Samuel Steven Geggie,21,TOP2,,SAFE,WIN Mini Chall. Winner,HIGH,WIN,WIN,LOW Mini Chall. Winner,LOW,SAFE,SAFE,WIN Mini Chall. Winner,RUNNING,RUNNER UP,NA,NA,"Los Angeles, CA",Gigi_Goode
NA,145,12,Sherry Pie,4th (Disqualified),Joey Gugliemelli,27,,TOP2,WIN,SAFE,WIN,HIGH,SAFE,LOW,SAFE,HIGH,LOW,SAFE + DISQ,,,NA,NA,"New York, NY",Sherry_Pie
NA,146,12,Jackie Cox,5th,Darius Rose,34,HIGH,,HIGH,SAFE,HIGH,HIGH,LOW,HIGH Mini Chall. Winner,BTM2 Mini Chall. Winner,BTM2,HIGH Mini Chall. Winner,ELIM,GUEST,GUEST,NA,NA,"New York, NY",Jackie_Cox
NA,147,12,Heidi N Closet,6th (Miss Congeniality),Trevien Anthonie Cheek,24,LOW,,HIGH Team Captain,SAFE,BTM2,SAFE,BTM2,WIN,HIGH,BTM2,ELIM,,GUEST,MISS CON,NA,NA,"Los Angeles, CA",Heidi_N_Closet
NA,148,12,Widow Von'Du,7th,Ray Fry,30,WIN,,SAFE Team Captain,SAFE,HIGH,SAFE,SAFE,BTM2,ELIM,,,,GUEST,GUEST,NA,NA,"Kansas City, MO",Widow_Von%27Du
NA,149,12,Jan,8th,Charlie Mantione,26,,HIGH,SAFE,SAFE,HIGH,SAFE,HIGH,ELIM,,,,,GUEST,GUEST,NA,NA,"New York, NY",Jan
NA,150,12,Brita,9th,Jesse Havea,34,HIGH,,SAFE,BTM2,LOW,BTM2,ELIM,,,,,,GUEST,GUEST,NA,NA,"New York, NY",Brita
NA,151,12,Aiden Zhane,10th,Devin Lewis,29,,HIGH,SAFE Team Captain,LOW,HIGH,ELIM,,,,,,,GUEST,GUEST,NA,NA,"Acworth, GA",Aiden_Zhane
NA,152,12,Nicky Doll,11th,Karl Sanchez,28,LOW,,BTM2,HIGH,ELIM,,,,,,,,GUEST,GUEST,NA,NA,"New York, NY",Nicky_Doll
NA,153,12,Rock M. Sakura,12th,Bryan Steven Bradford,28,,LOW,SAFE,ELIM,,,,,,,,,GUEST,GUEST,NA,NA,"San Francisco, CA",Rock_M._Sakura
NA,154,12,Dahlia Sin,13th,Erick Anthony,28,,LOW,ELIM,,,,,,,,,,GUEST,GUEST,NA,NA,"Los Angeles, CA",Dahlia_Sin
NA,155,13,Rosé,TBA,Ross McCorkell,31,LOSS,,TOP2,HIGH,HIGH,SAFE,SAFE,WIN,HIGH,LOW,WIN,TBA,NA,NA,NA,NA,"New York City, NY",Rosé
NA,156,13,Symone,TBA,Reggie Gavin,25,WIN,WIN,,WIN,SAFE,SAFE,HIGH,BTM2,SAFE,WIN,WIN,TBA,NA,NA,NA,NA,"Los Angeles, CA",Symone
